"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"35",2015,"MUNICIPIO",130220,217,0,185,8,92,59,25,23,8,2,0,0,209,17,20,25,21.8018433179723,6.20799934324316,28,45,76,57,5,3,23,0,0,162,32,117,100,73,144,13,204,0,1,4,192,0,0,197,0,20,37,39,40,38.3397129186603,2.87636287327008,1,90,19,16,79,186,31,148,63,190,20,1,47,2,84,4,12,12,6,6,1,34,177,1,25,14,0,114,103,23,0,0,162,32,19,190,7,2900,3175,3500,3169.76388888889,516.836841504584,19,150,29,1,195,9.86734693877551,0.56636954687872,2,207
"36",2015,"MUNICIPIO",130230,633,0,18,19,185,154,143,66,44,18,2,1,612,18,23,28,24.128164556962,7.11693352105274,46,24,28,10,0,0,0,0,0,15,94,182,451,159,474,3,630,0,2,1,624,0,0,627,0,6,41,41,41,40.522906793049,1.47549490276004,1,59,17,13,16,613,20,608,25,108,2,0,10,3,79,1,2,1,1,3,0,12,489,0,51,4,88,338,295,4,1,0,468,159,43,560,30,2856,3140,3480,3156.9336492891,505.973762286408,110,489,31,2,487,9.88343558282209,0.479830546038491,1,631
"37",2015,"MUNICIPIO",130240,659,0,600,24,238,176,121,58,24,10,0,0,627,18,21,26,22.4976958525346,6.27482718656045,30,68,214,286,11,11,9,0,0,571,78,544,115,274,385,13,646,0,3,4,582,0,0,589,0,70,38,39,40,38.9552469135802,2.59583013631288,1,217,33,56,249,646,13,456,202,651,6,1,174,52,225,45,54,2,3,12,1,79,639,5,1,0,14,346,313,9,0,0,571,78,32,594,33,2995,3250,3550,3247.05007587253,490.817247493325,38,491,78,20,622,8.44080996884735,0.836241105734912,0,579
"38",2015,"MUNICIPIO",130250,2070,0,2022,53,595,601,446,249,99,24,3,0,2017,19,22,28,23.5135265700483,6.23656104720572,33,174,714,1061,36,51,19,0,2,2023,16,1538,532,713,1357,17,2053,1,4,15,1919,0,0,1939,0,131,38,39,40,38.6773255813954,2.21517032356191,104,883,159,139,635,1834,236,1451,619,2045,20,2,599,12,844,5,330,8,9,15,2,236,1973,0,94,3,0,1076,994,19,0,2,2023,16,117,1790,163,2960,3250,3600,3263.41594202899,535.041230969238,136,1580,301,9,2052,9.73022804463852,0.694642044026721,8,2056
"39",2015,"MUNICIPIO",130255,234,0,222,3,63,80,44,25,15,4,0,0,231,19,23,27,23.9700854700855,6.28670871207119,3,12,106,104,3,5,2,0,0,217,11,136,98,63,171,0,234,0,2,3,217,0,0,222,0,12,38,39,40,38.4217391304348,2.45491335535593,2,64,18,26,114,116,118,166,68,230,3,0,43,8,105,13,24,0,3,0,0,33,224,0,7,3,0,106,128,2,0,0,217,11,14,194,26,2960.25,3294,3600,3281.13247863248,581.594607175064,13,180,36,6,226,9.63793103448276,1.30199016310937,2,232
"40",2015,"MUNICIPIO",130260,42342,0,37871,528,8711,11599,9497,7425,3685,857,38,2,41812,20,25,30,25.4399178121015,6.64122505403351,94,1168,11575,22168,2938,4135,1886,132,24,39529,42,10450,31892,15876,26466,809,41533,21,224,468,39786,0,0,40499,0,1843,38,39,40,38.6242087648243,2.19795537469176,60,13005,4917,4845,16650,42189,153,22082,20245,41120,780,34,10788,2464,11669,1888,8782,272,416,744,34,3846,42168,9,149,16,0,21654,20683,1886,132,24,39529,42,3498,35983,2859,2935,3260,3580,3228.94272555503,578.692427932429,2715,32496,5026,406,41646,9.68572243888519,0.8060393037355,211,41285
"41",2015,"MUNICIPIO",130270,930,0,758,14,272,265,177,115,65,18,4,0,916,19,23,29,24.1247311827957,6.74600955944318,32,134,332,374,17,12,33,4,0,802,89,196,734,267,663,7,923,1,0,6,816,0,0,823,0,107,38,39,40,39.020652173913,2.34801506908085,48,413,103,55,283,834,96,705,223,904,20,5,220,5,450,9,102,4,16,6,5,103,764,7,138,6,15,490,440,33,4,0,802,89,55,806,69,2938.25,3250,3600,3248.66774193548,513.374031232885,90,670,113,12,760,9.04274611398964,0.894999350214853,5,922
"42",2015,"MUNICIPIO",130280,323,0,275,7,91,108,54,37,12,13,1,0,316,19,22,27.5,23.7368421052632,6.86439901576698,6,64,169,75,3,5,9,3,0,256,52,238,85,75,248,5,318,0,1,5,286,0,0,292,0,31,38,39,40,38.8411214953271,2.45643109781605,8,122,33,32,111,212,111,271,52,317,5,0,54,7,169,10,31,2,2,5,0,40,276,3,44,0,0,154,169,9,3,0,256,52,24,278,21,2962.5,3315,3600,3257.88544891641,549.476150194282,24,236,47,2,283,9.52982456140351,0.704603802437013,1,320
"43",2015,"MUNICIPIO",130290,1335,0,1015,30,392,371,271,158,75,33,4,1,1304,18.5,23,28,23.923595505618,6.83090948512588,16,161,576,525,16,21,8,0,0,1132,189,865,470,389,946,8,1327,1,2,2,1274,0,0,1279,0,56,38,39,40,39.0928301886792,1.68689230678105,24,686,125,79,353,1323,12,1090,241,1268,22,0,271,86,684,78,81,8,14,3,0,56,1070,0,259,6,0,707,628,8,0,0,1132,189,63,1194,77,2951.25,3220,3544.5,3232.89430284858,499.591449062652,121,1082,113,20,1041,9.61357210179076,1.02495492847717,4,1328
"44",2015,"MUNICIPIO",130300,356,0,304,4,106,123,69,34,15,4,1,0,352,19,22,26,23.2387640449438,5.95539879488689,2,41,121,181,2,1,40,0,2,274,34,249,107,112,244,5,351,0,0,4,325,0,0,329,0,27,37,39,40,38.4346590909091,2.47983155795198,6,152,52,23,105,292,64,272,84,348,3,3,88,3,155,2,36,1,1,4,3,57,289,1,64,2,0,174,182,40,0,2,274,34,20,307,29,3000,3250,3558.5,3255.61797752809,534.656430540353,24,250,60,5,310,9.03809523809524,0.880689613156914,6,338
"45",2015,"MUNICIPIO",130310,593,0,522,11,194,174,107,70,31,5,1,0,582,18,22,27,23.0809443507589,6.27335025572617,8,71,291,197,11,13,24,2,0,553,14,54,539,199,394,14,579,0,3,5,550,0,0,558,0,35,38,39,40,38.8040540540541,2.2293497835266,34,259,99,56,144,574,19,444,148,590,2,0,165,7,291,5,48,2,0,13,0,60,529,1,63,0,0,314,279,24,2,0,553,14,39,526,28,2885,3140,3500,3186.90387858347,538.693585998959,61,454,60,1,528,9.10018903591682,0.624150909746302,0,592
