"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
"12",2015,"MUNICIPIO",1300607,39484,33411,17260,16151,13649,16203,3559,6620,7855,1676,NA,"0.574",NA,NA,968,0,853,5,239,272,217,145,61,24,5,0,963,"19","24","29","24.8481404958678","6.65773350020597",54,123,302,398,44,42,10,2,0,580,366,717,251,232,736,16,952,0,6,6,925,0,0,937,0,31,"38",39,"40","38.6853002070393","2.04365091949843",2,388,106,79,368,886,82,769,199,960,4,2,207,2,608,6,62,0,2,16,2,59,844,1,32,9,82,482,485,10,2,0,580,366,67,862,39,"2900","3200","3472.5","3154.06508264463","525.51000578853",79,796,73,9,871,"9.7375","0.829190498511282",3,963,141,NA,NA,26,115,12,13,27,13,50,72,69,9,NA,33,26,7,12,NA,NA,NA,NA,11,22,1,NA,NA,NA,1,NA,2,10,NA,NA,NA,NA,NA,1,"15.842","",123.233609166136,3.57106676121973,103.305785123967,12.7307447485678,25.4614894971356,34.0909090909091,26.8595041322314,7.23140495867769,46.4876033057851
"13",2015,"MUNICIPIO",1300631,18171,15486,8146,7340,6875,6933,1678,3383,3249,708,NA,"0.506",NA,NA,489,0,391,16,161,116,104,52,28,9,2,1,472,"18","22","28","23.4335378323108","6.9255540672514",29,92,191,162,1,4,5,0,0,448,33,381,108,148,341,2,487,0,0,0,475,0,0,475,0,14,"39",39,"40","39.1868583162218","1.46284286419167",2,228,51,29,119,391,98,391,98,484,4,1,133,3,263,7,50,2,1,2,1,26,403,2,70,11,3,233,256,5,0,0,448,33,28,423,37,"2960","3250","3580","3262.89549180328","489.616863306243",55,371,56,1,402,"9.19106699751861","0.730105698732082",0,489,45,NA,NA,3,42,3,3,14,5,17,34,11,2,NA,2,2,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"11.230","",150.50784856879,2.47647350173353,NA,NA,NA,4.08997955010225,4.08997955010225,NA,10.2249488752556
"14",2015,"MUNICIPIO",1300680,17668,14979,7945,7034,6208,7127,1644,3034,3272,728,NA,"0.565",NA,NA,369,0,367,8,113,111,74,50,10,3,0,0,361,"18","22","27","23.1273712737127","5.97026453016538",6,34,125,195,1,8,34,0,0,335,0,81,288,112,257,1,368,0,2,2,348,0,0,352,0,17,"38",39,"40","38.8021680216802","2.17605438310115",7,154,9,49,147,339,30,294,75,368,1,0,79,22,166,28,40,0,1,1,0,32,323,0,46,0,0,186,183,34,0,0,335,0,19,329,21,"2900","3280","3600","3241.24390243902","514.047488841965",34,291,42,0,368,"8.91847826086956","0.536296584712302",1,367,48,NA,NA,9,39,NA,3,13,6,17,31,17,3,NA,4,4,NA,3,NA,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,2,4,NA,NA,NA,1,NA,NA,"","",112.775061124694,2.71677609237039,271.0027100271,30.5623471882641,61.1246943765281,10.840108401084,10.840108401084,NA,18.970189701897
"15",2015,"MUNICIPIO",1300706,33498,30632,15947,14685,11015,15549,4068,5380,7376,1929,NA,"0.588",NA,NA,695,0,615,18,207,225,126,86,19,13,1,0,677,"18","22","27","23.2215827338129","6.21630702231372",21,121,261,258,5,16,154,20,0,475,23,504,191,236,459,14,681,0,3,3,641,0,0,647,0,48,"38",39,"40","38.8255813953488","2.19204256519577",1,366,30,36,192,516,179,436,258,621,21,3,166,31,230,13,111,8,12,12,3,63,692,1,2,0,0,366,329,154,20,0,475,23,48,591,55,"2940","3257.5","3600","3255.23919308357","556.100586131708",52,527,92,6,675,"8.94419970631424","0.618203741448634",4,658,133,NA,NA,25,108,5,11,25,12,55,89,44,8,NA,11,9,2,5,NA,5,NA,NA,6,NA,1,NA,NA,NA,1,NA,2,9,1,NA,NA,NA,NA,NA,"","",94.2245119305857,3.97038629171891,143.884892086331,13.5574837310195,27.114967462039,15.8273381294964,12.9496402877698,2.87769784172662,23.0215827338129
"16",2015,"MUNICIPIO",1300805,39292,34961,18237,16724,13859,17037,4065,6792,8056,1876,NA,"0.56",NA,NA,725,0,654,29,259,207,114,66,30,16,3,0,695,"18","21","26","22.6629834254144","6.67604126034447",21,113,281,275,9,13,13,2,0,529,180,397,328,262,463,10,715,0,2,4,666,0,0,672,0,53,"38",39,"40","39.1551246537396","1.91954182827232",6,252,57,61,348,559,166,592,132,710,12,0,223,21,301,32,86,3,9,8,0,36,649,5,41,6,24,371,353,13,2,0,529,180,45,647,33,"2880","3200","3500","3197.6675862069","501.727227855587",66,573,73,2,658,"9.67575757575758","0.684327168881951",6,718,108,NA,NA,14,94,3,11,36,12,32,71,37,5,NA,5,5,NA,2,NA,1,NA,NA,3,1,1,NA,NA,NA,1,NA,2,6,NA,1,NA,NA,NA,NA,"38.242","",89.9950347567031,2.74865112491092,137.931034482759,12.4131082423039,24.8262164846077,6.89655172413793,6.89655172413793,NA,9.6551724137931
"17",2015,"MUNICIPIO",1300839,12420,10975,5812,5163,4233,5503,1239,2081,2560,522,NA,"0.569",NA,NA,173,0,142,4,50,54,35,20,6,4,0,0,169,"19","22","26","23.3757225433526","6.37608998191321",3,26,66,71,1,5,1,2,0,163,1,117,56,56,117,2,171,0,0,2,154,0,0,156,0,17,"38",39,"40","38.9226190476191","2.13608019711276",0,65,14,19,62,105,68,125,45,166,3,0,44,0,75,0,27,1,2,2,0,14,155,0,17,1,0,83,90,1,2,0,163,1,11,148,13,"2986.25","3250","3596.25","3254.5988372093","500.545125760522",8,131,24,2,159,"9.63354037267081","0.834336869868736",3,169,20,NA,NA,2,18,1,NA,3,2,12,11,9,NA,NA,3,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",67.578125,1.61030595813205,NA,NA,NA,17.3410404624277,11.5606936416185,5.78034682080925,NA
"18",2015,"MUNICIPIO",1300904,15130,12738,6872,5866,4200,6845,1693,2007,3124,735,NA,"0.53",NA,NA,219,0,213,6,80,65,41,17,8,2,0,0,213,"18","21","26","22.2511415525114","5.82748439542772",7,41,87,76,4,4,24,5,1,184,2,156,63,78,141,2,217,0,0,1,207,0,0,208,0,11,"38",39,"40","38.9315068493151","1.7970064336722",3,65,23,27,96,211,8,135,84,212,5,2,58,14,76,12,35,0,4,2,2,16,210,1,8,0,0,113,106,24,5,1,184,2,9,192,18,"2983","3350","3600","3308.3698630137","491.733980448741",14,172,30,2,216,"9.68807339449541","0.701509205281967",0,219,38,NA,NA,4,34,3,4,13,5,9,21,17,3,NA,5,5,NA,NA,NA,1,NA,NA,4,NA,1,1,NA,NA,NA,NA,2,4,NA,NA,1,NA,NA,NA,"8.930","",70.1024327784891,2.51156642432254,456.62100456621,32.0102432778489,64.0204865556978,22.8310502283105,22.8310502283105,NA,NA
"19",2015,"MUNICIPIO",1301001,27880,25774,13259,12515,10581,12496,2697,5198,6067,1250,NA,"0.549",NA,NA,628,0,321,25,217,177,105,56,37,10,1,0,603,"18","21","27","22.8152866242038","6.61646648788756",22,97,260,227,8,14,177,1,0,428,6,253,375,222,406,11,617,0,1,5,557,0,0,563,0,65,"38",39,"40","38.9630225080386","2.44690791031329",4,230,42,59,206,612,16,430,194,621,3,0,171,13,261,45,40,2,0,10,0,75,559,0,68,1,0,319,309,177,1,0,428,6,30,522,75,"3000","3350","3700","3342.59489633174","546.022137176699",33,424,125,2,366,"9.04891304347826","1.13059937471079",1,624,97,NA,NA,8,89,2,8,11,2,66,52,45,8,NA,8,7,1,3,NA,7,NA,NA,NA,NA,2,1,NA,NA,1,NA,4,10,NA,NA,NA,2,NA,NA,"22.507","",103.510796110104,3.47919655667145,318.471337579618,32.9652216911159,65.9304433822317,12.7388535031847,11.1464968152866,1.59235668789809,17.515923566879
"20",2015,"MUNICIPIO",1301100,36435,32734,16990,15744,11824,16696,4214,5811,8070,1863,NA,"0.557",NA,NA,419,0,343,8,116,120,85,50,27,13,0,0,411,"19","23","28","24.1789976133652","6.79916529829823",9,54,188,147,7,7,7,2,0,396,10,153,266,120,299,3,416,0,2,3,386,0,0,391,0,28,"38",39,"40","38.9877750611247","2.07632480464318",20,138,50,41,135,145,274,311,108,397,2,0,81,19,185,15,52,1,1,2,0,32,378,0,39,2,0,221,198,7,2,0,396,10,29,349,41,"3000","3280","3605","3277.15990453461","537.453432469008",34,309,61,4,377,"9.65354330708661","0.885954312317682",4,409,96,NA,NA,19,77,3,13,23,2,36,55,41,6,NA,9,9,NA,5,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"","",51.9206939281289,2.63482914779745,NA,NA,NA,21.4797136038186,21.4797136038186,NA,33.4128878281623
"21",2015,"MUNICIPIO",1301159,27981,23930,12688,11242,7859,12461,3610,3751,5886,1605,NA,"0.568",NA,NA,215,0,178,5,56,64,37,31,18,3,0,0,209,"19","23","29","24.2803738317757","6.69635790928659",2,22,70,100,5,7,0,0,0,210,4,52,163,96,119,8,207,0,1,2,203,0,0,206,0,9,"38",39,"40","38.6854460093897","2.23598874612079",0,63,36,29,55,27,188,146,69,214,0,1,66,6,70,10,30,0,0,8,1,22,186,0,25,2,2,112,103,0,0,0,210,4,16,180,15,"2910","3220","3610","3228.7345971564","589.997583277701",15,158,25,0,187,"9.82352941176471","0.45894028583058",2,211,44,NA,NA,8,36,2,2,12,NA,20,27,17,2,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"1.633","",36.5273530411145,1.57249562202923,NA,NA,NA,9.30232558139535,9.30232558139535,NA,NA
