"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
"22",2015,"MUNICIPIO",1301209,83078,75965,39476,36489,28113,40028,7824,13580,19253,3656,NA,"0.586",NA,NA,1744,0,1736,50,516,507,347,197,97,29,1,0,1694,"18","22","28","23.4891055045872","6.50185520127009",42,192,776,651,33,49,4,0,1,1731,8,1179,565,568,1176,22,1722,0,4,3,1727,0,0,1734,0,10,"38",40,"40","38.8938002296211","1.87049908449295",37,721,232,151,596,1724,20,1171,572,1715,27,1,405,47,711,56,244,6,16,20,1,235,1687,0,51,6,0,901,842,4,0,1,1731,8,115,1528,101,"2945","3260","3560","3239.0498853211","518.15688886687",66,1522,132,11,1732,"9.86115892139989","0.670178471945173",12,1732,311,NA,NA,62,249,22,38,56,40,93,204,106,25,NA,21,18,3,9,NA,2,NA,NA,18,NA,4,2,NA,NA,1,1,8,28,1,NA,NA,NA,NA,NA,"","",90.5832857217057,3.74346999205566,229.357798165138,20.775982963694,41.5519659273879,12.0412844036697,10.3211009174312,1.72018348623853,17.2018348623853
"23",2015,"MUNICIPIO",1301308,26777,23206,12107,11099,8655,12069,2482,4225,5735,1139,NA,"0.563",NA,NA,434,0,404,13,139,126,82,47,21,5,1,0,421,"18","22","27","23.1428571428571","6.33133321430311",14,79,188,131,8,10,23,10,1,400,0,340,94,144,290,12,422,0,6,2,399,0,0,407,0,27,"38",39,"40","38.5648148148148","2.76378014829079",5,175,53,27,157,416,18,314,116,418,14,1,105,7,178,5,59,8,5,10,1,53,424,1,9,0,0,238,196,23,10,1,400,0,26,378,30,"3000","3300","3600","3294.19124423963","536.334284281648",15,334,66,3,426,"9.90675990675991","0.596466221929453",1,431,69,NA,NA,11,58,3,13,23,2,17,50,19,5,NA,6,6,NA,4,1,1,NA,NA,5,NA,2,2,NA,NA,NA,NA,4,7,NA,NA,1,NA,NA,NA,"9.522","",75.6756756756757,2.57683833140382,460.829493087558,34.87358326068,69.7471665213601,13.8248847926267,13.8248847926267,NA,23.0414746543779
"24",2015,"MUNICIPIO",1301407,34025,30665,15779,14886,12408,15007,3250,6105,7193,1588,NA,"0.563",NA,NA,825,0,705,25,250,263,144,75,48,17,1,2,798,"18","22","27","23.36","6.74429640367196",148,125,235,292,5,12,105,3,0,610,107,519,306,242,583,9,816,1,3,3,782,0,0,789,0,36,"38",39,"40","38.9951515151515","2.05919103674276",32,323,87,56,294,821,4,588,237,786,17,4,159,49,389,51,83,6,9,6,4,50,705,1,41,3,75,422,403,105,3,0,610,107,60,713,39,"2830","3160","3480","3146.7302955665","518.307962688068",112,611,73,11,707,"8.88440111420613","0.702064392139392",8,817,150,NA,NA,26,124,10,14,27,17,56,92,58,9,NA,23,15,8,9,NA,4,NA,NA,9,10,1,1,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,"14.305","",114.694842207702,4.40852314474651,121.212121212121,13.9024051160851,27.8048102321702,27.8787878787879,18.1818181818182,9.6969696969697,38.7878787878788
"25",2015,"MUNICIPIO",1301506,18786,16338,8392,7946,6778,8097,1463,3385,3849,712,NA,"0.509",NA,NA,412,0,366,18,145,112,61,49,19,7,0,1,393,"18","21","26.25","22.9271844660194","6.75173502689731",53,100,134,114,4,7,53,0,0,322,37,291,121,135,277,4,408,0,0,2,394,0,0,396,0,16,"39",39,"40","39.2092457420925","1.59113770171063",5,157,37,25,183,392,20,278,134,401,5,1,118,8,169,26,57,3,2,4,1,18,372,0,40,0,0,223,189,53,0,0,322,37,24,358,30,"2950","3280","3600","3263.9854368932","515.724199460384",39,314,50,4,367,"9.82479784366577","0.700601787342689",10,400,64,NA,NA,8,56,4,12,11,8,21,42,22,8,NA,10,10,NA,1,NA,4,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,"11.508","",107.040789815536,3.40679229213244,NA,NA,NA,24.2718446601942,24.2718446601942,NA,26.6990291262136
"26",2015,"MUNICIPIO",1301605,20742,22817,11824,10993,9259,11139,2419,4555,5306,1132,NA,"0.53",NA,NA,670,0,669,24,233,191,112,70,31,7,1,1,645,"18","21","27","22.8044776119403","6.43600050435239",23,113,240,281,3,10,9,3,1,611,46,356,314,213,457,9,661,1,3,7,608,0,0,619,0,51,"37",39,"40","38.4417910447761","2.76623617161827",17,307,78,30,202,665,5,452,218,637,27,3,142,18,250,23,90,11,13,9,3,110,615,0,55,0,0,345,325,9,3,1,611,46,46,589,34,"2900","3200","3500","3195.15994020927","522.515727474953",51,488,88,6,663,"9.47234678624813","0.959305524397783",4,666,71,NA,NA,11,60,3,9,17,4,27,44,27,5,NA,10,9,1,3,NA,NA,NA,NA,9,1,2,1,NA,NA,1,NA,4,7,NA,1,NA,NA,NA,NA,"19.045","",126.272144741802,3.42300646032205,298.507462686567,37.6931775348662,75.3863550697324,14.9253731343284,13.4328358208955,1.49253731343284,19.4029850746269
"27",2015,"MUNICIPIO",1301654,15826,13974,7265,6709,5882,6817,1275,2857,3249,603,NA,"0.532",NA,NA,334,0,252,10,91,91,63,44,29,6,0,0,324,"19","23","29","24.3353293413174","6.76780115501269",35,78,97,100,5,15,15,0,0,273,1,247,87,102,232,12,322,0,2,2,280,0,0,284,0,50,"38",40,"40","38.9221183800623","2.73921348172105",2,170,26,26,81,62,272,238,95,315,11,1,66,15,127,19,30,2,6,10,1,41,309,1,21,3,0,167,167,15,0,0,273,1,38,274,22,"2900","3207.5","3500","3168.40419161677","601.093703962484",23,233,37,3,309,"9.5801282051282","0.889374206218869",0,325,50,NA,NA,9,41,2,6,14,7,12,34,16,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"12.000","650",102.800861803632,3.15935801845065,NA,NA,NA,NA,NA,NA,NA
"28",2015,"MUNICIPIO",1301704,51302,44227,23204,21023,15690,23078,5459,7569,11004,2450,NA,"0.605",NA,NA,941,0,920,26,279,269,210,104,47,5,1,0,915,"18","22","28","23.3113708820404","6.11901190844604",26,101,372,360,30,49,29,7,0,870,34,241,700,345,596,9,932,0,3,5,912,0,0,920,0,21,"38",39,"40","38.7121535181237","1.90384698728832",5,347,61,57,446,898,43,524,417,924,11,1,306,5,359,3,197,3,3,7,1,48,909,0,21,9,2,470,471,29,7,0,870,34,56,823,62,"2942","3256","3592","3249.24973432519","536.840231702999",63,748,118,6,932,"9.01599147121535","0.63242189011688",1,938,176,NA,NA,22,154,9,29,29,24,63,113,63,10,NA,10,8,2,7,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"","",85.5143584151218,3.43066547113173,NA,NA,NA,10.6269925611052,8.50159404888417,2.12539851222104,18.0658873538789
"29",2015,"MUNICIPIO",1301803,26860,22254,11355,10899,9998,10407,1849,4976,5052,871,NA,"0.481",NA,NA,441,0,291,6,123,136,74,57,28,16,0,1,434,"19","23","29","24.4013605442177","7.00031804207259",92,155,114,72,1,4,67,8,0,315,47,252,189,121,320,11,430,0,0,3,394,0,0,397,0,44,"38",40,"40","39.1284403669725","2.31675920072348",3,242,49,30,64,409,32,365,75,425,9,6,97,4,224,5,36,2,5,5,6,46,313,0,125,2,1,242,199,67,8,0,315,47,32,358,36,"3000","3200","3550","3230.72300469484","554.444852855335",38,301,55,2,313,"9.8984126984127","0.819253206523323",0,441,55,NA,NA,3,52,1,2,4,11,34,30,25,5,NA,13,9,4,4,NA,NA,NA,NA,4,8,1,1,NA,NA,NA,NA,2,6,NA,1,NA,NA,NA,NA,"","",87.29216152019,2.04765450483991,226.757369614512,19.7941409342835,39.5882818685669,29.4784580498866,20.4081632653061,9.0702947845805,38.5487528344671
"30",2015,"MUNICIPIO",1301852,45984,40781,20996,19785,14858,20387,5536,7358,9887,2540,NA,"0.613",NA,NA,867,0,749,28,262,239,182,103,41,12,0,0,839,"18","22","28","23.3886966551326","6.36296382014442",5,67,362,377,31,21,18,1,0,829,1,216,651,288,579,11,856,0,6,10,777,0,0,793,0,74,"38",39,"40","38.5067155067155","2.44116917174478",6,287,110,95,294,153,714,590,275,852,8,0,207,20,299,11,153,3,4,9,0,108,859,0,7,1,0,443,424,18,1,0,829,1,63,746,58,"2933","3264","3600","3248.12802768166","575.823203065088",57,627,116,10,851,"9.70150987224158","0.874900683510464",3,862,210,NA,NA,45,165,15,29,39,24,58,131,79,27,NA,9,8,1,2,NA,1,NA,NA,8,NA,2,2,NA,NA,NA,NA,4,29,NA,NA,1,1,NA,NA,"","",87.690907251947,4.56680584551148,230.680507497117,20.2285829877617,40.4571659755234,10.3806228373702,9.22722029988466,1.15340253748558,12.6874279123414
"31",2015,"MUNICIPIO",1301902,97122,86839,44426,42413,30925,43867,12047,15166,21493,5754,NA,"0.644",NA,NA,2078,0,1980,41,555,612,418,280,145,23,4,0,2037,"19","23","29","24.1063522617902","6.48257900816368",8,175,785,966,85,58,12,3,0,2055,5,1278,800,676,1402,31,2047,1,13,33,1862,0,0,1909,0,169,"38",39,"40","38.7006277160792","2.64523901771742",10,903,156,117,818,1905,173,1515,563,2061,7,0,557,10,867,6,331,2,2,27,0,256,1971,31,68,8,0,1093,985,12,3,0,2055,5,136,1796,146,"2964","3280","3600","3262.64870067372","541.601221628844",148,1501,314,10,2001,"9.87021382396818","0.523633406407875",1,2074,362,NA,NA,56,306,20,53,74,23,136,230,132,27,NA,26,25,1,4,NA,6,1,NA,18,NA,5,2,NA,NA,3,NA,10,32,NA,NA,2,2,NA,NA,"","",96.6826408598148,3.72727085521303,240.615976900866,23.2633880798399,46.5267761596799,12.512030798845,12.0307988450433,0.481231953801732,14.436958614052
"32",2015,"MUNICIPIO",1301951,8179,8038,4236,3802,3389,3963,686,1639,1855,308,NA,"0.477",NA,NA,293,0,224,7,91,87,42,49,10,5,2,0,286,"18","22","28","23.5529010238908","6.72361154229459",46,61,97,81,1,6,3,0,0,239,50,63,230,83,210,4,289,0,0,2,53,0,0,55,0,238,"42",42,"42","41.2808219178082","1.91482963158761",22,45,10,17,179,290,3,247,46,282,0,0,75,3,160,2,26,0,0,4,0,12,232,0,45,16,0,155,138,3,0,0,239,50,22,253,18,"2950","3250","3550","3214.32423208191","544.590609710421",47,221,17,1,234,"9.65106382978723","0.624934984798088",0,290,29,NA,NA,2,27,NA,3,11,3,10,21,8,2,NA,3,3,NA,2,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"1.361","",157.951482479784,3.54566572930676,NA,NA,NA,10.2389078498294,10.2389078498294,NA,17.0648464163823
"33",2015,"MUNICIPIO",1302009,8953,8211,4299,3912,2974,4076,1161,1434,1951,527,NA,"0.654",NA,NA,148,0,143,4,38,44,35,17,7,3,0,0,144,"19","22","28","23.7837837837838","6.52002727399302",0,7,67,68,0,6,0,2,0,145,0,95,53,37,111,0,148,0,0,2,132,0,0,134,0,14,"38",39,"40","38.9387755102041","2.35896567128482",2,68,15,10,53,103,45,121,27,143,3,1,27,4,71,7,18,2,1,0,1,15,138,0,9,1,0,76,72,0,2,0,145,0,7,134,7,"2986.25","3200","3545.5","3233.04054054054","460.573228733017",9,114,17,0,145,"9.81379310344828","0.390622844821641",0,147,29,NA,NA,7,22,1,6,5,5,5,14,15,5,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","",75.8585340850846,3.23913771920027,NA,NA,NA,6.75675675675676,6.75675675675676,NA,13.5135135135135
"34",2015,"MUNICIPIO",1302108,5125,7326,3835,3491,3016,3750,560,1463,1785,243,NA,"0.522",NA,NA,169,0,143,8,39,44,39,17,17,3,1,1,160,"19","24","29","24.5798816568047","7.44390594380378",3,23,61,58,1,6,8,0,0,120,39,70,99,35,134,2,167,0,0,0,156,0,0,156,0,13,"38",39,"40","38.6626506024096","2.19794454080493",0,61,16,24,56,132,37,156,13,165,3,1,22,4,88,12,12,1,2,2,1,22,138,2,27,0,2,87,82,8,0,0,120,39,8,155,6,"2900","3196","3484","3172.02958579882","457.285448338702",11,134,15,2,150,"9.11842105263158","1.06063963286883",5,164,8,NA,NA,1,7,NA,1,3,NA,3,4,4,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"","",94.6778711484594,1.5609756097561,NA,NA,NA,5.91715976331361,5.91715976331361,NA,NA
"35",2015,"MUNICIPIO",1302207,13198,10802,5548,5254,4557,5292,953,2283,2532,439,NA,"0.522",NA,NA,217,0,185,8,92,59,25,23,8,2,0,0,209,"17","20","25","21.8018433179723","6.20799934324316",28,45,76,57,5,3,23,0,0,162,32,117,100,73,144,13,204,0,1,4,192,0,0,197,0,20,"37",39,"40","38.3397129186603","2.87636287327008",1,90,19,16,79,186,31,148,63,190,20,1,47,2,84,4,12,12,6,6,1,34,177,1,25,14,0,114,103,23,0,0,162,32,19,190,7,"2900","3175","3500","3169.76388888889","516.836841504584",19,150,29,1,195,"9.86734693877551","0.56636954687872",2,207,21,NA,NA,5,16,1,3,5,NA,7,13,8,2,NA,3,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"4.569","",85.7030015797788,1.59115017426883,NA,NA,NA,13.8248847926267,9.21658986175115,4.60829493087558,NA
"36",2015,"MUNICIPIO",1302306,16585,17992,9432,8560,8194,8146,1652,3944,3865,751,NA,"0.516",NA,NA,633,0,18,19,185,154,143,66,44,18,2,1,612,"18","23","28","24.128164556962","7.11693352105274",46,24,28,10,0,0,0,0,0,15,94,182,451,159,474,3,630,0,2,1,624,0,0,627,0,6,"41",41,"41","40.522906793049","1.47549490276004",1,59,17,13,16,613,20,608,25,108,2,0,10,3,79,1,2,1,1,3,0,12,489,0,51,4,88,338,295,4,1,0,468,159,43,560,30,"2856","3140","3480","3156.9336492891","505.973762286408",110,489,31,2,487,"9.88343558282209","0.479830546038491",1,631,76,NA,NA,7,69,6,9,3,4,47,49,27,4,NA,15,14,1,7,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"","",163.777490297542,4.58245402472113,NA,NA,NA,23.696682464455,22.1169036334913,1.57977883096367,34.7551342812006
"37",2015,"MUNICIPIO",1302405,43263,37701,19638,18063,14358,18856,4487,7046,8914,2103,NA,"0.531",NA,NA,659,0,600,24,238,176,121,58,24,10,0,0,627,"18","21","26","22.4976958525346","6.27482718656045",30,68,214,286,11,11,9,0,0,571,78,544,115,274,385,13,646,0,3,4,582,0,0,589,0,70,"38",39,"40","38.9552469135802","2.59583013631288",1,217,33,56,249,646,13,456,202,651,6,1,174,52,225,45,54,2,3,12,1,79,639,5,1,0,14,346,313,9,0,0,571,78,32,594,33,"2995","3250","3550","3247.05007587253","490.817247493325",38,491,78,20,622,"8.44080996884735","0.836241105734912",0,579,154,NA,NA,8,146,10,16,23,5,92,96,58,9,NA,13,13,NA,2,NA,2,NA,NA,7,4,2,1,NA,NA,1,NA,4,11,NA,NA,1,NA,NA,NA,"","",73.9286515593448,3.55962369692347,303.490136570561,22.436616558223,44.873233116446,19.7268588770865,19.7268588770865,NA,22.7617602427921
"38",2015,"MUNICIPIO",1302504,94175,85141,43461,41680,31388,42976,10777,15336,21206,5138,NA,"0.614",NA,NA,2070,0,2022,53,595,601,446,249,99,24,3,0,2017,"19","22","28","23.5135265700483","6.23656104720572",33,174,714,1061,36,51,19,0,2,2023,16,1538,532,713,1357,17,2053,1,4,15,1919,0,0,1939,0,131,"38",39,"40","38.6773255813954","2.21517032356191",104,883,159,139,635,1834,236,1451,619,2045,20,2,599,12,844,5,330,8,9,15,2,236,1973,0,94,3,0,1076,994,19,0,2,2023,16,117,1790,163,"2960","3250","3600","3263.41594202899","535.041230969238",136,1580,301,9,2052,"9.73022804463852","0.694642044026721",8,2056,437,NA,NA,87,350,19,76,108,59,88,283,154,25,NA,27,25,2,15,NA,3,NA,NA,21,1,2,1,NA,NA,1,NA,4,27,NA,NA,1,1,NA,NA,"66.559","",97.6138828633406,4.64029731882134,96.6183574879227,9.43129303027445,18.8625860605489,13.0434782608696,12.0772946859903,0.966183574879227,20.2898550724638
"39",2015,"MUNICIPIO",1302553,28413,22801,11744,11057,8637,11307,2857,4300,5536,1221,NA,"0.596",NA,NA,234,0,222,3,63,80,44,25,15,4,0,0,231,"19","23","27","23.9700854700855","6.28670871207119",3,12,106,104,3,5,2,0,0,217,11,136,98,63,171,0,234,0,2,3,217,0,0,222,0,12,"38",39,"40","38.4217391304348","2.45491335535593",2,64,18,26,114,116,118,166,68,230,3,0,43,8,105,13,24,0,3,0,0,33,224,0,7,3,0,106,128,2,0,0,217,11,14,194,26,"2960.25","3294","3600","3281.13247863248","581.594607175064",13,180,36,6,226,"9.63793103448276","1.30199016310937",2,232,50,NA,NA,8,42,2,8,13,5,14,26,24,3,NA,3,3,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"6.293","",42.2687861271676,1.75975785731883,NA,NA,NA,12.8205128205128,12.8205128205128,NA,17.0940170940171
"40",2015,"MUNICIPIO",1302603,2057711,1802014,879742,922272,508962,1055900,237152,251209,542331,128732,NA,"0.737",NA,NA,42342,0,37871,528,8711,11599,9497,7425,3685,857,38,2,41812,"20","25","30","25.4399178121015","6.64122505403351",94,1168,11575,22168,2938,4135,1886,132,24,39529,42,10450,31892,15876,26466,809,41533,21,224,468,39786,0,0,40499,0,1843,"38",39,"40","38.6242087648243","2.19795537469176",60,13005,4917,4845,16650,42189,153,22082,20245,41120,780,34,10788,2464,11669,1888,8782,272,416,744,34,3846,42168,9,149,16,0,21654,20683,1886,132,24,39529,42,3498,35983,2859,"2935","3260","3580","3228.94272555503","578.692427932429",2715,32496,5026,406,41646,"9.68572243888519","0.8060393037355",211,41285,10451,NA,NA,1954,8497,619,1837,1765,886,3390,6273,4158,783,NA,513,478,35,169,2,105,2,1,368,1,42,8,NA,1,15,19,85,807,NA,5,8,5,NA,4,"1.757.691","213.935",78.0740912837363,5.07894451650402,99.19229134193,7.74434800887281,15.6730852560521,12.11562987105,11.2890274432006,0.826602427849417,16.1069387369515
"41",2015,"MUNICIPIO",1302702,53053,47017,24684,22333,17557,23817,5643,8542,11266,2525,NA,"0.582",NA,NA,930,0,758,14,272,265,177,115,65,18,4,0,916,"19","23","29","24.1247311827957","6.74600955944318",32,134,332,374,17,12,33,4,0,802,89,196,734,267,663,7,923,1,0,6,816,0,0,823,0,107,"38",39,"40","39.020652173913","2.34801506908085",48,413,103,55,283,834,96,705,223,904,20,5,220,5,450,9,102,4,16,6,5,103,764,7,138,6,15,490,440,33,4,0,802,89,55,806,69,"2938.25","3250","3600","3248.66774193548","513.374031232885",90,670,113,12,760,"9.04274611398964","0.894999350214853",5,922,162,NA,NA,24,138,9,20,45,10,54,99,63,6,NA,13,12,1,7,NA,3,NA,NA,10,NA,2,1,NA,NA,1,NA,4,8,NA,NA,2,NA,NA,NA,"28.500","",82.549263270016,3.05355022336154,215.05376344086,17.7525297354873,35.5050594709746,13.9784946236559,12.9032258064516,1.0752688172043,21.505376344086
"42",2015,"MUNICIPIO",1302801,18423,17528,9407,8121,7505,8687,1336,3609,3950,562,NA,"0.498",NA,NA,323,0,275,7,91,108,54,37,12,13,1,0,316,"19","22","27.5","23.7368421052632","6.86439901576698",6,64,169,75,3,5,9,3,0,256,52,238,85,75,248,5,318,0,1,5,286,0,0,292,0,31,"38",39,"40","38.8411214953271","2.45643109781605",8,122,33,32,111,212,111,271,52,317,5,0,54,7,169,10,31,2,2,5,0,40,276,3,44,0,0,154,169,9,3,0,256,52,24,278,21,"2962.5","3315","3600","3257.88544891641","549.476150194282",24,236,47,2,283,"9.52982456140351","0.704603802437013",1,320,28,NA,NA,7,21,2,3,4,3,9,18,10,2,NA,7,6,1,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","",81.7721518987342,1.51983933127069,NA,NA,NA,21.671826625387,18.5758513931889,3.09597523219814,NA
"43",2015,"MUNICIPIO",1302900,59983,52236,27283,24953,21152,24479,6605,10422,11502,3029,NA,"0.588",NA,NA,1335,0,1015,30,392,371,271,158,75,33,4,1,1304,"18.5","23","28","23.923595505618","6.83090948512588",16,161,576,525,16,21,8,0,0,1132,189,865,470,389,946,8,1327,1,2,2,1274,0,0,1279,0,56,"38",39,"40","39.0928301886792","1.68689230678105",24,686,125,79,353,1323,12,1090,241,1268,22,0,271,86,684,78,81,8,14,3,0,56,1070,0,259,6,0,707,628,8,0,0,1132,189,63,1194,77,"2951.25","3220","3544.5","3232.89430284858","499.591449062652",121,1082,113,20,1041,"9.61357210179076","1.02495492847717",4,1328,219,NA,NA,24,195,12,13,36,18,116,133,86,12,NA,17,15,2,7,NA,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","",116.066770996348,3.6510344597636,NA,NA,NA,12.7340823970037,11.2359550561798,1.49812734082397,17.9775280898876
"44",2015,"MUNICIPIO",1303007,20358,18278,9496,8782,6782,9007,2489,3393,4213,1176,NA,"0.586",NA,NA,356,0,304,4,106,123,69,34,15,4,1,0,352,"19","22","26","23.2387640449438","5.95539879488689",2,41,121,181,2,1,40,0,2,274,34,249,107,112,244,5,351,0,0,4,325,0,0,329,0,27,"37",39,"40","38.4346590909091","2.47983155795198",6,152,52,23,105,292,64,272,84,348,3,3,88,3,155,2,36,1,1,4,3,57,289,1,64,2,0,174,182,40,0,2,274,34,20,307,29,"3000","3250","3558.5","3255.61797752809","534.656430540353",24,250,60,5,310,"9.03809523809524","0.880689613156914",6,338,61,NA,NA,4,57,2,8,17,7,23,34,27,2,NA,7,7,NA,2,NA,1,NA,NA,6,NA,2,2,NA,1,NA,NA,5,5,NA,NA,NA,2,NA,NA,"6.000","",84.500356040826,2.99636506533058,561.797752808989,47.4721101352955,118.680275338239,19.6629213483146,19.6629213483146,NA,25.2808988764045
"45",2015,"MUNICIPIO",1303106,35156,30696,15748,14948,11576,15545,3575,5757,7542,1649,NA,"0.558",NA,NA,593,0,522,11,194,174,107,70,31,5,1,0,582,"18","22","27","23.0809443507589","6.27335025572617",8,71,291,197,11,13,24,2,0,553,14,54,539,199,394,14,579,0,3,5,550,0,0,558,0,35,"38",39,"40","38.8040540540541","2.2293497835266",34,259,99,56,144,574,19,444,148,590,2,0,165,7,291,5,48,2,0,13,0,60,529,1,63,0,0,314,279,24,2,0,553,14,39,526,28,"2885","3140","3500","3186.90387858347","538.693585998959",61,454,60,1,528,"9.10018903591682","0.624150909746302",0,592,106,NA,NA,16,90,3,15,35,8,29,67,39,8,NA,8,8,NA,2,NA,1,NA,NA,7,NA,1,1,NA,NA,NA,NA,2,9,NA,NA,1,NA,NA,NA,"20.800","3.121",78.6263590559533,3.0151325520537,168.634064080944,13.259082471493,26.5181649429859,13.4907251264755,13.4907251264755,NA,16.8634064080944
"46",2015,"MUNICIPIO",1303205,17671,14723,7607,7116,5328,7477,1918,2648,3588,880,NA,"0.57",NA,NA,316,0,274,14,100,96,62,32,10,2,0,0,302,"18","22","26.25","22.6424050632911","5.99962744138358",10,38,118,128,8,11,4,2,0,280,26,180,136,97,219,3,313,1,1,3,281,0,0,286,0,30,"38",39,"40","38.7156862745098","2.48158113655774",14,137,32,22,79,185,131,234,82,310,5,0,75,5,123,3,58,2,2,3,0,35,292,0,21,3,0,153,163,4,2,0,280,26,19,264,25,"2997.5","3300","3600","3290.8538961039","577.271732246799",19,222,52,3,288,"9.61855670103093","0.997686623825394",3,311,48,NA,NA,12,36,4,4,11,2,15,32,16,1,NA,4,4,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"12.124","",88.0713489409142,2.7163148661649,NA,NA,NA,12.6582278481013,12.6582278481013,NA,15.8227848101266
"47",2015,"MUNICIPIO",1303304,24315,21451,11429,10022,7827,10993,2631,3805,5092,1125,NA,"0.554",NA,NA,409,0,359,9,137,132,76,33,16,6,0,0,400,"18","22","26","22.7726161369193","5.99792719521108",5,93,143,152,6,9,2,3,1,403,0,286,123,143,266,5,404,1,1,5,350,0,0,357,0,52,"37",39,"40","38.5663265306122","2.68093368007144",2,121,51,47,163,385,24,329,80,399,6,1,100,2,174,0,42,3,3,5,1,61,377,0,32,0,0,213,196,2,3,1,403,0,31,350,28,"2945","3260","3570","3251.59657701712","547.444397828441",31,283,59,5,372,"8.84350132625995","0.591982286271198",2,407,83,NA,NA,16,67,2,6,11,6,42,60,23,4,NA,8,8,NA,5,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"","",80.3220738413197,3.41353074234012,NA,NA,NA,19.559902200489,19.559902200489,NA,31.7848410757946
